"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","每日用例-加购","登录","0","0","3","0","0"
"","每日用例-加购","测试购物车结算","0","0","4","0","0"
"","每日用例-加购","测试护理液加入购物车","0","0","2","0","0"
"","每日用例-加购","测试伴侣盒加入购物车","0","0","2","0","0"
"","每日用例-加购","测试隐形眼镜加入购物车","0","1","2","0","0"
"","每日用例-加购","","1","0","0","0","0"
"","每日用例-加购","测试取消订单","0","0","2","0","0"
"","","","0","0","1","0","0"
"","每日用例-加购","测试定制片加入购物车","0","0","2","0","0"
"","每日用例-加购","测试镜片加入购物车","0","0","2","0","0"
"","每日用例-注册","","0","0","2","0","0"
