"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 11 00:10:29 CST 2020","Sat Jan 11 00:10:37 CST 2020","7909","Testcases.all","test_4_m_buy","TestLogin","","","微商城购物车结算","这是定制片下单的成功用例"
"passed","Sat Jan 11 00:08:57 CST 2020","Sat Jan 11 00:09:05 CST 2020","8003","Testcases.all","test_3_pc_buy","TestLogin","","","测试购物车结算","这是普通片加入购物车的成功用例"
"passed","Sat Jan 11 00:08:37 CST 2020","Sat Jan 11 00:08:47 CST 2020","10205","Testcases.all","test_3_pc_buy","TestLogin","","","测试伴侣盒加入购物车","这是伴侣盒加入购物车的成功用例"
"passed","Sat Jan 11 00:10:56 CST 2020","Sat Jan 11 00:11:08 CST 2020","11597","Testcases.all","test_4_m_buy","TestXiajia","","","测试登录正常","这是验证码登录的成功用例"
"passed","Sat Jan 11 00:09:52 CST 2020","Sat Jan 11 00:10:01 CST 2020","8395","Testcases.all","test_4_m_buy","TestLogin","","","微商城定制片加入购物车","这是定制片加入购物车的成功用例"
"passed","Sat Jan 11 00:10:01 CST 2020","Sat Jan 11 00:10:09 CST 2020","8282","Testcases.all","test_4_m_buy","TestLogin","","","微商城伴侣盒加入购物车","这是伴侣盒加入购物车的成功用例"
"passed","Sat Jan 11 00:09:30 CST 2020","Sat Jan 11 00:09:32 CST 2020","2120","Testcases.all","test_4_m_buy","TestLogin","","","测试登录正常","这是微商城密码登录的成功用例"
"passed","Sat Jan 11 00:08:47 CST 2020","Sat Jan 11 00:08:57 CST 2020","10158","Testcases.all","test_3_pc_buy","TestLogin","","","测试镜片加入购物车","这是镜片加入购物车的成功用例"
"passed","Sat Jan 11 00:11:08 CST 2020","Sat Jan 11 00:11:43 CST 2020","34949","Testcases.all","test_4_m_buy","TestXiajia","","","测试商品是否正常","这是商品上架正常的成功用例"
"passed","Sat Jan 11 00:07:54 CST 2020","Sat Jan 11 00:08:06 CST 2020","12176","Testcases.all","test_3_pc_buy","TestLogin","","","测试登录正常","这是验证码登录的成功用例"
"passed","Sat Jan 11 00:10:10 CST 2020","Sat Jan 11 00:10:20 CST 2020","9848","Testcases.all","test_4_m_buy","TestLogin","","","微商城镜片加入购物车","这是镜片加入购物车的成功用例"
"passed","Sat Jan 11 00:10:37 CST 2020","Sat Jan 11 00:10:47 CST 2020","10596","Testcases.all","test_4_m_buy","TestLogin","","","微商城取消订单","这是取消采购中心订单的成功用例"
"passed","Sat Jan 11 00:10:20 CST 2020","Sat Jan 11 00:10:29 CST 2020","8673","Testcases.all","test_4_m_buy","TestLogin","","","微商城购物车结算","这是普通片下单的成功用例"
"passed","Sat Jan 11 00:09:05 CST 2020","Sat Jan 11 00:09:13 CST 2020","8014","Testcases.all","test_3_pc_buy","TestLogin","","","测试购物车结算","这是定制片加入购物车的成功用例"
"passed","Sat Jan 11 00:08:26 CST 2020","Sat Jan 11 00:08:37 CST 2020","10833","Testcases.all","test_3_pc_buy","TestLogin","","","测试定制片加入购物车","这是定制片加入购物车的成功用例"
"passed","Sat Jan 11 00:08:06 CST 2020","Sat Jan 11 00:08:18 CST 2020","11909","Testcases.all","test_3_pc_buy","TestLogin","","","测试隐形眼镜加入购物车","这是隐形眼镜加入购物车的成功用例"
"passed","Sat Jan 11 00:09:13 CST 2020","Sat Jan 11 00:09:21 CST 2020","7532","Testcases.all","test_3_pc_buy","TestLogin","","","测试取消订单","这是取消采购中心订单的成功用例"
"passed","Sat Jan 11 00:09:32 CST 2020","Sat Jan 11 00:09:44 CST 2020","12221","Testcases.all","test_4_m_buy","TestLogin","","","微商城隐形眼镜加入购物车","这是隐形眼镜加入购物车的成功用例"
"passed","Sat Jan 11 00:09:45 CST 2020","Sat Jan 11 00:09:52 CST 2020","6719","Testcases.all","test_4_m_buy","TestLogin","","","微商城护理液加入购物车","这是护理液加入购物车的成功用例"
"passed","Sat Jan 11 00:08:18 CST 2020","Sat Jan 11 00:08:26 CST 2020","8243","Testcases.all","test_3_pc_buy","TestLogin","","","测试护理液加入购物车","这是护理液加入购物车的成功用例"
